COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Tehama,2020,8,120,1.0,1.0,344,,5.0,,85.0,88.0,88.0,89.0,95.0,96.0
Tulare,2020,67,1335,0.8805970149253731,0.8805970149253731,2432,,3.8333333333333335,,84.33333333333333,80.33333333333333,84.0,87.0,87.33333333333333,88.33333333333333
Tuolumne,2020,8,92,0.0,1.0,0,,,,,,,,,
Ventura,2020,125,2235,1.0,0.992,3224,,4.375,,87.625,82.5,83.125,91.125,89.875,91.0
Yolo,2020,18,322,1.0,0.7222222222222222,655,,4.533333333333333,,85.0,84.06666666666666,88.4,85.0,90.0,90.06666666666666
Yuba,2020,8,120,1.0,1.0,248,,4.0,,72.0,82.0,82.0,76.0,87.0,88.0
Alameda,2021,243,4817,0.823045267489712,1.0,7726,,3.933333333333333,,80.2,80.68,81.04,83.37333333333333,86.62666666666667,88.28
Butte,2021,36,680,0.7777777777777778,1.0,1048,,4.333333333333333,,81.66666666666667,82.66666666666667,83.0,86.66666666666667,88.66666666666667,91.33333333333333
Columbia,2021,2,26,1.0,1.0,0,,,,,,,,,
Contra Costa,2021,148,2777,0.9594594594594594,1.0,5504,,3.7142857142857144,,79.78571428571429,80.85714285714286,77.78571428571429,83.78571428571429,86.5,87.14285714285714
Del Norte,2021,4,36,1.0,0.0,0,,,,,,,,,
El Dorado,2021,8,185,1.0,1.0,560,,4.0,,80.0,82.0,84.0,83.0,86.0,89.0
Fresno,2021,131,2614,0.8931297709923665,0.8931297709923665,4895,,3.896551724137931,,81.183908045977,79.55172413793103,82.50574712643679,86.08045977011494,86.04597701149426,88.32183908045977
Humboldt,2021,16,222,1.0,1.0,392,,3.0,,71.0,79.0,79.0,86.0,85.0,84.0
Imperial,2021,40,800,1.0,1.0,1064,,4.333333333333333,,85.33333333333333,84.0,81.66666666666667,89.33333333333333,89.0,90.33333333333333
Inyo,2021,8,96,0.0,0.0,0,,,,,,,,,
Kern,2021,136,3179,1.0,0.9338235294117647,4096,,4.555555555555555,,82.33333333333333,83.0,83.33333333333333,85.33333333333333,90.0,91.33333333333333
Kings,2021,32,448,1.0,1.0,984,,5.0,,86.66666666666667,83.33333333333333,84.0,89.33333333333333,90.33333333333333,91.66666666666667
Lake,2021,15,180,1.0,1.0,0,,,,,,,,,
Los Angeles,2021,1489,34323,0.9711215580926796,0.8307588985896575,60978,,3.7732342007434942,,81.52230483271376,80.31412639405204,79.21189591078067,85.14869888475836,86.63011152416357,87.72583643122677
Madera,2021,27,484,0.8888888888888888,0.8888888888888888,552,,3.5,,77.5,79.5,82.5,80.5,83.0,87.0
Marin,2021,22,448,0.6363636363636364,1.0,352,,5.0,,84.0,84.0,80.0,85.0,90.0,91.0
Mendocino,2021,16,262,0.0,1.0,328,,5.0,,83.0,86.0,83.0,86.0,91.0,91.0
Merced,2021,48,1013,0.8333333333333334,1.0,1184,,4.0,,83.66666666666667,83.33333333333333,86.66666666666667,86.66666666666667,89.66666666666667,89.66666666666667
Monterey,2021,58,1104,0.8620689655172413,0.8620689655172413,2272,,3.5,,82.75,79.75,81.5,86.0,85.5,86.75
Napa,2021,22,318,1.0,1.0,456,,2.0,,87.0,78.0,79.0,89.0,84.0,82.0
Nevada,2021,8,144,1.0,1.0,0,,,,,,,,,
Orange,2021,392,8339,0.9081632653061225,0.9489795918367347,14828,,4.227586206896552,,82.28275862068965,82.28275862068965,82.04137931034482,85.62068965517241,88.68275862068965,89.9103448275862
Placer,2021,54,859,1.0,1.0,640,,5.0,,90.5,86.5,80.0,90.5,90.5,92.5
Riverside,2021,285,6328,0.9298245614035088,0.8491228070175438,10610,,3.9473684210526314,,79.71578947368421,81.66315789473684,83.30526315789474,83.93684210526315,87.08421052631579,88.43157894736842
Sacramento,2021,224,4688,0.7142857142857143,0.9642857142857143,9015,,4.341317365269461,,82.88622754491018,83.2874251497006,83.16766467065868,84.58682634730539,87.9940119760479,89.98203592814372
San Bernardino,2021,317,6167,0.8801261829652997,0.7570977917981072,11753,,4.253393665158371,,78.44343891402715,82.0,82.39819004524887,83.13122171945702,88.1131221719457,89.41628959276018
San Diego,2021,293,5968,0.9522184300341296,0.8873720136518771,12776,,3.892857142857143,,83.46428571428571,81.21428571428571,81.82142857142857,85.67857142857143,87.17857142857143,88.10714285714286
San Francisco,2021,113,2017,0.6548672566371682,0.7876106194690266,1872,,3.4,,85.4,81.0,81.4,88.0,85.8,86.2
San Joaquin,2021,139,2416,0.7266187050359713,0.9424460431654677,3720,,4.5,,82.6,83.1,84.4,86.4,89.9,91.2
San Luis Obispo,2021,32,440,1.0,1.0,968,,4.666666666666667,,83.0,84.0,86.33333333333333,87.33333333333333,90.66666666666667,91.33333333333333
San Mateo,2021,119,2240,0.5462184873949579,1.0,3840,,4.625,,84.875,84.5,84.375,87.75,90.5,91.625
Santa Barbara,2021,32,714,1.0,0.5,2080,,4.25,,79.0,82.25,82.0,84.75,88.75,89.5
